Adams,0
Africa,30370000
Alexander,0
Anjouan,0
Antarctica,14000000
Antipodes,0
Arce,0
Asia,44579000
Asparagus,0
Auckland,0
Australia,8600000
Banks,0
Barrow,0
Blancas,0
Bounty,0
Burgh,0
Cameron,0
Campbell,0
Chapel,0
Coburg,0
Crozet,0
Del Palo,0
Denny,0
Europe,10180000
Gable,0
Graham,0
Grande Comore,0
Groote,0
Hainan,0
Hebao,0
Kangaroo,0
King,0
Kyushu,0
Mauritius,0
Melville,0
North America,24709000
Ping,0
Pingtan,0
Rodrigues,0
Saint Brandon,0
Shamian,0
Shikoku,0
South America,17840000
Tasmania,0
Tova,0
